"Primary Type","yearmo","count","year","month"
"ASSAULT",Jan 2007,1722,2007,"Jan"
"BURGLARY",Jan 2007,1843,2007,"Jan"
"CRIMINAL TRESPASS",Jan 2007,1301,2007,"Jan"
"MOTOR VEHICLE THEFT",Jan 2007,1557,2007,"Jan"
"NARCOTICS",Jan 2007,4899,2007,"Jan"
"ROBBERY",Jan 2007,1128,2007,"Jan"
"ASSAULT",Feb 2007,1554,2007,"Feb"
"BURGLARY",Feb 2007,1335,2007,"Feb"
"CRIMINAL TRESPASS",Feb 2007,986,2007,"Feb"
"MOTOR VEHICLE THEFT",Feb 2007,1315,2007,"Feb"
"NARCOTICS",Feb 2007,4248,2007,"Feb"
"ROBBERY",Feb 2007,778,2007,"Feb"
"ASSAULT",Mar 2007,2297,2007,"Mar"
"BURGLARY",Mar 2007,1757,2007,"Mar"
"CRIMINAL TRESPASS",Mar 2007,1175,2007,"Mar"
"MOTOR VEHICLE THEFT",Mar 2007,1483,2007,"Mar"
"NARCOTICS",Mar 2007,4905,2007,"Mar"
"ROBBERY",Mar 2007,1065,2007,"Mar"
"ASSAULT",Apr 2007,2145,2007,"Apr"
"BURGLARY",Apr 2007,1866,2007,"Apr"
"CRIMINAL TRESPASS",Apr 2007,1115,2007,"Apr"
"MOTOR VEHICLE THEFT",Apr 2007,1463,2007,"Apr"
"NARCOTICS",Apr 2007,4656,2007,"Apr"
"ROBBERY",Apr 2007,1149,2007,"Apr"
"ASSAULT",May 2007,2732,2007,"May"
"BURGLARY",May 2007,2230,2007,"May"
"CRIMINAL TRESPASS",May 2007,1297,2007,"May"
"MOTOR VEHICLE THEFT",May 2007,1599,2007,"May"
"NARCOTICS",May 2007,4558,2007,"May"
"ROBBERY",May 2007,1345,2007,"May"
"ASSAULT",Jun 2007,2416,2007,"Jun"
"BURGLARY",Jun 2007,2174,2007,"Jun"
"CRIMINAL TRESPASS",Jun 2007,1122,2007,"Jun"
"MOTOR VEHICLE THEFT",Jun 2007,1636,2007,"Jun"
"NARCOTICS",Jun 2007,4472,2007,"Jun"
"ROBBERY",Jun 2007,1365,2007,"Jun"
"ASSAULT",Jul 2007,2566,2007,"Jul"
"BURGLARY",Jul 2007,2267,2007,"Jul"
"CRIMINAL TRESPASS",Jul 2007,1193,2007,"Jul"
"MOTOR VEHICLE THEFT",Jul 2007,1611,2007,"Jul"
"NARCOTICS",Jul 2007,4805,2007,"Jul"
"ROBBERY",Jul 2007,1498,2007,"Jul"
"ASSAULT",Aug 2007,2361,2007,"Aug"
"BURGLARY",Aug 2007,2377,2007,"Aug"
"CRIMINAL TRESPASS",Aug 2007,1258,2007,"Aug"
"MOTOR VEHICLE THEFT",Aug 2007,1655,2007,"Aug"
"NARCOTICS",Aug 2007,4765,2007,"Aug"
"ROBBERY",Aug 2007,1419,2007,"Aug"
"ASSAULT",Sep 2007,2452,2007,"Sep"
"BURGLARY",Sep 2007,2248,2007,"Sep"
"CRIMINAL TRESPASS",Sep 2007,1111,2007,"Sep"
"MOTOR VEHICLE THEFT",Sep 2007,1531,2007,"Sep"
"NARCOTICS",Sep 2007,4604,2007,"Sep"
"ROBBERY",Sep 2007,1384,2007,"Sep"
"ASSAULT",Oct 2007,2421,2007,"Oct"
"BURGLARY",Oct 2007,2385,2007,"Oct"
"CRIMINAL TRESPASS",Oct 2007,1179,2007,"Oct"
"MOTOR VEHICLE THEFT",Oct 2007,1708,2007,"Oct"
"NARCOTICS",Oct 2007,4475,2007,"Oct"
"ROBBERY",Oct 2007,1433,2007,"Oct"
"ASSAULT",Nov 2007,1898,2007,"Nov"
"BURGLARY",Nov 2007,2321,2007,"Nov"
"CRIMINAL TRESPASS",Nov 2007,982,2007,"Nov"
"MOTOR VEHICLE THEFT",Nov 2007,1441,2007,"Nov"
"NARCOTICS",Nov 2007,4285,2007,"Nov"
"ROBBERY",Nov 2007,1485,2007,"Nov"
"ASSAULT",Dec 2007,1742,2007,"Dec"
"BURGLARY",Dec 2007,2035,2007,"Dec"
"CRIMINAL TRESPASS",Dec 2007,971,2007,"Dec"
"MOTOR VEHICLE THEFT",Dec 2007,1554,2007,"Dec"
"NARCOTICS",Dec 2007,3740,2007,"Dec"
"ROBBERY",Dec 2007,1396,2007,"Dec"
"ASSAULT",Jan 2008,1754,2008,"Jan"
"BURGLARY",Jan 2008,1893,2008,"Jan"
"CRIMINAL TRESPASS",Jan 2008,1082,2008,"Jan"
"MOTOR VEHICLE THEFT",Jan 2008,1465,2008,"Jan"
"NARCOTICS",Jan 2008,4057,2008,"Jan"
"ROBBERY",Jan 2008,1267,2008,"Jan"
"ASSAULT",Feb 2008,1733,2008,"Feb"
"BURGLARY",Feb 2008,1536,2008,"Feb"
"CRIMINAL TRESPASS",Feb 2008,893,2008,"Feb"
"MOTOR VEHICLE THEFT",Feb 2008,1233,2008,"Feb"
"NARCOTICS",Feb 2008,3764,2008,"Feb"
"ROBBERY",Feb 2008,950,2008,"Feb"
"ASSAULT",Mar 2008,2038,2008,"Mar"
"BURGLARY",Mar 2008,1749,2008,"Mar"
"CRIMINAL TRESPASS",Mar 2008,986,2008,"Mar"
"MOTOR VEHICLE THEFT",Mar 2008,1658,2008,"Mar"
"NARCOTICS",Mar 2008,3962,2008,"Mar"
"ROBBERY",Mar 2008,1229,2008,"Mar"
"ASSAULT",Apr 2008,2431,2008,"Apr"
"BURGLARY",Apr 2008,1907,2008,"Apr"
"CRIMINAL TRESPASS",Apr 2008,1052,2008,"Apr"
"MOTOR VEHICLE THEFT",Apr 2008,1442,2008,"Apr"
"NARCOTICS",Apr 2008,3527,2008,"Apr"
"ROBBERY",Apr 2008,1211,2008,"Apr"
"ASSAULT",May 2008,2494,2008,"May"
"BURGLARY",May 2008,2243,2008,"May"
"CRIMINAL TRESPASS",May 2008,994,2008,"May"
"MOTOR VEHICLE THEFT",May 2008,1541,2008,"May"
"NARCOTICS",May 2008,3699,2008,"May"
"ROBBERY",May 2008,1359,2008,"May"
"ASSAULT",Jun 2008,2425,2008,"Jun"
